Date,Game,Team,Side,Market,ML,Book,Model_Prob,Market_Prob,Edge_Pct,Model_Line,Market_Line,SP_Score,LU_Score,Park_Factor,Ump_K,Result,F5_Score,Taken,logged_at,Model_Prob_Cal,Edge_Cal,Closing_ML,Closing_Line,CLV_Pct
04/25/2026,Detroit Tigers @ Cincinnati Reds,Detroit Tigers/Cincinnati Reds,Under 5.2,F5 Total,-105.0,Caesars,66.2,51.2,15.0,4.24,5.2,51.25,27.7,1.12,0.031,LOSS,2-6,False,unknown,,,,,
04/25/2026,Los Angeles Angels @ Kansas City Royals,Kansas City Royals,Kansas City Royals Under 2.5,F5 Team Total,-130.0,DraftKings,63.9,56.5,7.4,1.86,2.5,56.2,27.1,1.0,0.044,LOSS,1-4,False,unknown,,,,,
04/25/2026,Los Angeles Angels @ Kansas City Royals,Los Angeles Angels/Kansas City Royals,Under 4.5,F5 Total,-114.0,FanDuel,62.5,53.3,9.2,3.77,4.5,49.4,28.75,1.0,0.044,LOSS,1-4,False,unknown,,,,,
04/25/2026,Los Angeles Angels @ Kansas City Royals,Kansas City Royals,Home -0.5,F5 Spread,-110.0,BetMGM,62.1,52.4,9.7,-0.3,-0.5,56.2,27.1,1.0,0.044,WIN,1-4,False,unknown,,,,,
04/25/2026,Miami Marlins @ San Francisco Giants,San Francisco Giants,San Francisco Giants Over 1.5,F5 Team Total,-140.0,DraftKings,66.0,58.3,7.6,2.24,1.5,50.0,53.2,1.01,0.038,LOSS,1-1,False,unknown,,,,,
04/25/2026,Miami Marlins @ San Francisco Giants,Miami Marlins,Miami Marlins Over 1.5,F5 Team Total,-120.0,DraftKings,64.9,54.5,10.4,2.19,1.5,50.0,48.5,1.01,0.038,LOSS,1-1,False,unknown,,,,,
04/25/2026,Miami Marlins @ San Francisco Giants,San Francisco Giants,Home -0.5,F5 Spread,110.0,BetMGM,61.0,47.6,13.4,-0.23,-0.5,50.0,53.2,1.01,0.038,WIN,1-1,False,unknown,,,,,
04/25/2026,Miami Marlins @ San Francisco Giants,Miami Marlins/San Francisco Giants,Over 3.8,F5 Total,-105.0,BetMGM,60.8,51.2,9.6,4.43,3.8,50.0,50.85,1.01,0.038,LOSS,1-1,False,unknown,,,,,
04/25/2026,Miami Marlins @ San Francisco Giants,San Francisco Giants,Home,F5 ML,-110.0,TheScore,74.6,52.4,22.2,,,50.0,53.2,1.01,0.038,PUSH,1-1,False,unknown,,,,,
04/25/2026,Minnesota Twins @ Tampa Bay Rays,Minnesota Twins,Minnesota Twins Over 1.5,F5 Team Total,-130.0,DraftKings,66.1,56.5,9.6,2.25,1.5,50.0,,1.0,0.0,LOSS,0-2,False,unknown,,,,,
04/25/2026,Minnesota Twins @ Tampa Bay Rays,Tampa Bay Rays,Home -0.5,F5 Spread,108.0,FanDuel,60.7,48.1,12.6,-0.2,-0.5,50.0,,1.0,0.0,WIN,0-2,False,unknown,,,,,
04/25/2026,New York Yankees @ Houston Astros,Houston Astros,Houston Astros Over 1.5,F5 Team Total,-145.0,DraftKings,72.9,59.2,13.8,2.6,1.5,50.0,63.6,1.0,-0.061,LOSS,2-1,False,unknown,,,,,
04/25/2026,New York Yankees @ Houston Astros,New York Yankees,New York Yankees Under 2.5,F5 Team Total,-115.0,DraftKings,63.9,53.5,10.4,1.86,2.5,50.0,16.2,1.0,-0.061,WIN,2-1,False,unknown,,,,,
04/25/2026,Philadelphia Phillies @ Atlanta Braves,Atlanta Braves,Home,F5 ML,-118.0,FanDuel,67.4,54.1,13.2,,,50.0,53.2,1.01,0.038,LOSS,3-2,False,unknown,,,,,
04/25/2026,Philadelphia Phillies @ Atlanta Braves,Atlanta Braves,Home -0.5,F5 Spread,116.0,FanDuel,66.3,46.3,20.0,-0.59,-0.5,50.0,53.2,1.01,0.038,LOSS,3-2,False,unknown,,,,,
04/25/2026,Philadelphia Phillies @ Atlanta Braves,Philadelphia Phillies,Philadelphia Phillies Over 1.5,F5 Team Total,-150.0,TheScore,64.9,60.0,4.9,2.19,1.5,50.0,48.5,1.01,0.038,WIN,3-2,False,unknown,,,,,
04/25/2026,Pittsburgh Pirates @ Milwaukee Brewers,Pittsburgh Pirates,Pittsburgh Pirates Over 1.5,F5 Team Total,-125.0,DraftKings,61.4,55.6,5.8,2.02,1.5,77.4,36.2,1.02,0.014,WIN,2-2,False,unknown,,,,,
04/25/2026,Pittsburgh Pirates @ Milwaukee Brewers,Pittsburgh Pirates,NRFI — Pittsburgh Pirates @ Milwaukee Brewers,NRFI/YRFI,-115.0,est.,61.2,53.5,7.7,,,72.55000000000001,41.650000000000006,1.02,0.014,WIN,2-2,False,unknown,,,,,
04/25/2026,Pittsburgh Pirates @ Milwaukee Brewers,Milwaukee Brewers,Milwaukee Brewers Under 2.5,F5 Team Total,-160.0,DraftKings,60.5,61.5,-1.0,2.02,2.5,64.2,47.1,1.02,0.014,WIN,2-2,False,unknown,,,,,
04/25/2026,Pittsburgh Pirates @ Milwaukee Brewers,Milwaukee Brewers,Home -0.5,F5 Spread,-102.0,BetMGM,60.7,50.5,10.2,-0.21,-0.5,64.2,47.1,1.02,0.014,WIN,2-2,False,unknown,,,,,
04/25/2026,San Diego Padres @ Arizona Diamondbacks,Under,Under,F5 Total,-102.0,fanduel,96.4,50.5,45.9,4.35,8.5,57.9,50.0,1.0,0.0,WIN,1-4,False,unknown,,,,,
04/25/2026,San Diego Padres @ Arizona Diamondbacks,San Diego Padres/Arizona Diamondbacks,Under 8.5,F5 Total,-102.0,FanDuel,95.9,50.5,45.4,4.5,8.5,50.0,50.0,1.0,0.0,WIN,1-4,False,unknown,,,,,
